,0
first_hour_of_period_cos,0.25632403393497416
solar_potential,0.24525802853876413
distance_to_solar_noon,0.17756267887584504
distance_to_noon_squared,0.12652580414539197
sky_cover,0.06755377532910592
is_daylight,0.028371752582908333
day_of_year_cos,0.02509101952426355
relative_humidity,0.015567809328925769
first_hour_of_period_sin,0.014971056246980599
average_wind_direction_day,0.013647093003926157
day_of_year_sin,0.006157666056051932
day_of_year,0.005578837208041945
average_wind_speed_day,0.004967975398595443
average_wind_speed_period,0.004356479276342952
average_barometric_pressure_period,0.003151537866620319
average_temperature_day,0.002959926291941802
visibility,0.0019545263913200626
